from,to,line,km
병점,서동탄,1호선,2.02
병점,세류,1호선,4.43
병점,세마,1호선,2.41
보라매,보라매공원,신림선,0.54
보라매,서울지방병무청,신림선,0.71
보라매,신대방삼거리,7호선,0.74
보라매,신풍,7호선,0.96
보라매공원,보라매병원,신림선,0.59
보문,성신여대입구,우이신설선,0.86
보문,신설동,우이신설선,1.39
보문,안암,6호선,0.89
보문,창신,6호선,0.71
보정,죽전,수인·분당선,1.36
복정,수서,수인·분당선,2.80
복정,장지,8호선,0.81
봉명,쌍용,1호선,1.56
봉명,천안,1호선,1.48
봉은사,삼성중앙,9호선,0.58
봉은사,종합운동장,9호선,1.37
봉천,서울대입구,2호선,0.96
봉천,신림,2호선,1.10
봉화산,신내,6호선,1.19
봉화산,화랑대,6호선,0.70
부개,부평,1호선,1.36
부개,송내,1호선,1.04
부발,세종대왕릉,경강선,8.01
부발,이천,경강선,4.28
부천,소사,1호선,1.19
부천,중동,1호선,1.63
부천시청,상동,7호선,0.89
부천시청,신중동,7호선,1.17
부천종합운동장,소사,서해선,2.57
부천종합운동장,원종,서해선,1.96
부천종합운동장,춘의,7호선,0.93
부평,부평시장,인천1호선,1.03
부평구청,부평시장,인천1호선,1.04
부평구청,산곡,7호선,1.43
북한산보국문,솔샘,우이신설선,1.04
북한산보국문,정릉,우이신설선,1.12
북한산우이,솔밭공원,우이신설선,0.83
불광,역촌,6호선,0.79
불광,연신내,3호선,1.36
불암산,상계,4호선,1.18
사가정,용마산,7호선,0.78
사당,총신대입구,4호선,1.17
사릉,퇴계원,경춘선,2.96
사리,야목,수인·분당선,4.04
사리,한대앞,수인·분당선,2.14
사우,풍무,김포골드라인,1.42
사평,신논현,9호선,0.84
산곡,석남,7호선,2.44
산본,수리산,4호선,1.05
삼가,시청·용인대,에버라인,0.99
삼가,초당,에버라인,2.21
삼각지,숙대입구,4호선,1.19
삼각지,신용산,4호선,0.74
삼각지,효창공원앞,6호선,1.15
삼동,이매,경강선,6.80
삼산체육관,상동,7호선,0.96
삼성,선릉,2호선,1.45
삼성,종합운동장,2호선,1.01
삼성중앙,선정릉,9호선,0.92
삼송,원흥,3호선,1.94
삼송,지축,3호선,1.81
삼양,삼양사거리,우이신설선,0.68
삼양,화계,우이신설선,0.79
삼양사거리,솔샘,우이신설선,0.61
삼전,석촌고분,9호선,0.86
삼전,종합운동장,9호선,1.29
상갈,청명,수인·분당선,2.61
상도,숭실대입구,7호선,1.01
상도,장승배기,7호선,0.77
상록수,한대앞,4호선,1.41
상봉,중랑,경의·중앙선,0.82
상봉,중랑,경춘선,0.82
상봉,중화,7호선,0.71
상수,합정,6호선,0.78
상왕십리,신당,2호선,0.84
상왕십리,왕십리,2호선,0.78
상월곡,월곡,6호선,0.76
상천,청평,경춘선,4.56
상현,성복,신분당선,2.03
새절,응암,6호선,0.88
새절,증산,6호선,0.84
샛강,여의도,9호선,0.62
서강대,홍대입구,경의·중앙선,1.04
서대문,충정로,5호선,0.76
서부여성회관,석남,인천2호선,0.76
서부여성회관,인천가좌,인천2호선,1.11
서빙고,이촌,경의·중앙선,1.25
서빙고,한남,경의·중앙선,2.16
서울대벤처타운,서원,신림선,0.69
서울숲,압구정로데오,수인·분당선,1.79
서울숲,왕십리,수인·분당선,2.07
서울역,숙대입구,4호선,0.83
서울역,시청,1호선,1.18
서울역,신촌,경의·중앙선,3.15
서울역,연신내,GTX-A,8.72
서울역,회현,4호선,0.87
서원,신림,신림선,0.73
서정리,송탄,1호선,2.22
서정리,평택지제,1호선,4.45
서해구청,아시아드경기장,인천2호선,0.86
서현,수내,수인·분당선,1.08
서현,이매,수인·분당선,1.23
석계,신이문,1호선,1.55
석계,태릉입구,6호선,0.81
석바위시장,시민공원,인천2호선,1.03
석바위시장,인천시청,인천2호선,0.88
석천사거리,인천시청,인천2호선,0.74
석촌,석촌고분,9호선,0.95
석촌,송파,8호선,0.77
석촌,송파나루,9호선,0.87
석촌,잠실,8호선,1.06
선릉,선정릉,수인·분당선,0.83
선릉,역삼,2호선,1.13
선릉,한티,수인·분당선,0.97
선부,초지,서해선,1.54
선유도,신목동,9호선,1.18
선정릉,언주,9호선,0.92
선학,신연수,인천1호선,1.11
성균관대,의왕,1호선,2.99
성균관대,화서,1호선,2.47
성남,이매,경강선,0.67
성남,판교,경강선,0.83
